TIME (UTC),LONGITUDE (degrees_east),LATITUDE (degrees_north),start_time (days since 1985-01-01 00:00:00+00:00),end_time (days since 1985-01-01 00:00:00+00:00),GSLA (m),GSL (m),UCUR (m/s),VCUR (m/s)
2003-09-02T00:00:00Z,151.2,-34.2,6810.539236111101,6825.489340277738,-0.044099919124715795,2.0241710283368683,-0.08057009445622816,-0.0721773762837044
2003-09-04T00:00:00Z,151.2,-34.2,6812.565185185173,6827.445428240695,-0.010376451558756657,2.0577419010269633,-0.054628965559336516,0.005188225779378329
2003-09-06T00:00:00Z,151.2,-34.2,6814.52127314813,6829.471377314767,-0.0338760624418232,2.034242290143897,-0.04684662689026903,0.012512779820853616
2003-09-08T00:00:00Z,151.2,-34.2,6816.5472222222015,6831.497314814827,-0.06027497596630705,2.0078433766194133,-0.061648329849083666,-0.012512779820853616
2003-09-10T00:00:00Z,151.2,-34.2,6818.503310185159,6833.278703703661,-0.09659255642195536,1.9715257961637649,-0.08499534585628614,-0.05417118093174431
2003-09-12T00:00:00Z,151.2,-34.2,6820.738842592575,6834.780752314837,-0.1036119207117025,1.9645064318740177,-0.08850502800115972,-0.05188225779378328
2003-09-14T00:00:00Z,151.2,-34.2,6822.7647916666465,6837.435428240686,-0.0421161857384829,2.0260021668472374,-0.06073276059389926,0.020295118489921108
2003-09-16T00:00:00Z,151.2,-34.2,6824.511296296259,6838.8675115740625,0.05127187829032701,2.1193902308760473,-0.02105809286924145,0.08209604321486884
2003-09-18T00:00:00Z,151.2,-34.2,6826.537245370331,6841.487314814818,0.12070254680847817,2.1889734942700625,0.002746707765553233,0.12329665969816733
2003-09-20T00:00:00Z,151.2,-34.2,6828.563194444403,6842.98925925931,0.1345886805121084,2.2027070330978287,0.0363175804556483,0.19013321532662933
2003-09-22T00:00:00Z,151.2,-34.2,6830.51928240736,6845.469340277836,0.0750766789251217,2.143195031510842,-0.0036622770207376436,0.06012238109044298
2003-09-24T00:00:00Z,151.2,-34.2,6832.68494212965,6847.49527777778,0.01922695435887263,2.087345306944593,-0.07858636106999527,-0.0590542169593945
2003-09-26T00:00:00Z,151.2,-34.2,6834.780752314837,6849.451377314865,-0.0013733538827766165,2.0668975935788074,-0.08972578700807227,-0.06332687348358843
2003-09-28T00:00:00Z,151.2,-34.2,6836.527245370322,6851.4773263889365,-0.023499610883066548,2.044618741702654,-0.08545313048387836,-0.05737567332488975
2003-09-30T00:00:00Z,151.2,-34.2,6838.512777777738,6853.433414351894,-0.07324554041475287,1.9948728121709673,-0.09109914089084889,-0.09155692551844109
