"Latitude","Longitude","Bathymetry","site"
"-28.6",152.51,489,"CapeByron"
"-31.8",152.52,14,"DiamondHead"
"-30",152.52,803,"NorthSolitary"
"-29",152.52,232,"EvansHead"
"-28.6",152.52,408,"CapeByron"
"-31.8",152.53,6,"DiamondHead"
"-30",152.53,781,"NorthSolitary"
"-29",152.53,193,"EvansHead"
"-28.6",152.53,384,"CapeByron"
"-31.8",152.54,6,"DiamondHead"
"-30",152.54,687,"NorthSolitary"
"-29",152.54,151,"EvansHead"
"-28.6",152.54,334,"CapeByron"
"-31.8",152.55,2,"DiamondHead"
"-30",152.55,382,"NorthSolitary"
"-29",152.55,139,"EvansHead"
"-28.6",152.55,376,"CapeByron"
"-31.8",152.56,1,"DiamondHead"
"-30",152.56,441,"NorthSolitary"
"-29",152.56,111,"EvansHead"
"-28.6",152.56,352,"CapeByron"
"-31.8",152.57,1,"DiamondHead"
"-30",152.57,562,"NorthSolitary"
"-29",152.57,106,"EvansHead"
"-28.6",152.57,294,"CapeByron"
"-31.8",152.58,2,"DiamondHead"
"-30",152.58,538,"NorthSolitary"
"-29",152.58,108,"EvansHead"
"-28.6",152.58,251,"CapeByron"
"-31.8",152.59,11,"DiamondHead"
"-30",152.59,530,"NorthSolitary"
"-29",152.59,107,"EvansHead"
"-28.6",152.59,228,"CapeByron"
"-31.8",152.6,19,"DiamondHead"
"-30",152.6,457,"NorthSolitary"
"-29",152.6,109,"EvansHead"
"-28.6",152.6,192,"CapeByron"
"-31.8",152.61,44,"DiamondHead"
"-30",152.61,383,"NorthSolitary"
"-29",152.61,138,"EvansHead"
"-28.6",152.61,214,"CapeByron"
"-31.8",152.62,51,"DiamondHead"
"-30",152.62,438,"NorthSolitary"
"-29",152.62,173,"EvansHead"
"-28.6",152.62,212,"CapeByron"
"-31.8",152.63,59,"DiamondHead"
"-30",152.63,457,"NorthSolitary"
"-29",152.63,180,"EvansHead"
"-28.6",152.63,258,"CapeByron"
"-31.8",152.64,22,"DiamondHead"
"-30",152.64,445,"NorthSolitary"
"-29",152.64,282,"EvansHead"
"-28.6",152.64,338,"CapeByron"
"-31.8",152.65,11,"DiamondHead"
"-30",152.65,429,"NorthSolitary"
"-29",152.65,376,"EvansHead"
"-28.6",152.65,275,"CapeByron"
"-31.8",152.66,17,"DiamondHead"
"-30",152.66,360,"NorthSolitary"
"-29",152.66,255,"EvansHead"
"-28.6",152.66,293,"CapeByron"
"-31.8",152.67,2,"DiamondHead"
"-30",152.67,326,"NorthSolitary"
"-29",152.67,262,"EvansHead"
"-28.6",152.67,347,"CapeByron"
"-31.8",152.68,3,"DiamondHead"
"-30",152.68,268,"NorthSolitary"
"-29",152.68,240,"EvansHead"
"-28.6",152.68,437,"CapeByron"
"-31.8",152.69,5,"DiamondHead"
"-30",152.69,281,"NorthSolitary"
"-29",152.69,257,"EvansHead"
"-28.6",152.69,510,"CapeByron"
"-31.8",152.7,2,"DiamondHead"
"-30",152.7,287,"NorthSolitary"
"-29",152.7,301,"EvansHead"
"-28.6",152.7,594,"CapeByron"
"-31.8",152.71,9,"DiamondHead"
"-30",152.71,248,"NorthSolitary"
"-29",152.71,279,"EvansHead"
"-28.6",152.71,648,"CapeByron"
"-31.8",152.72,10,"DiamondHead"
"-30",152.72,221,"NorthSolitary"
"-29",152.72,287,"EvansHead"
"-28.6",152.72,540,"CapeByron"
"-31.8",152.73,8,"DiamondHead"
"-30",152.73,298,"NorthSolitary"
"-29",152.73,289,"EvansHead"
"-28.6",152.73,399,"CapeByron"
"-31.8",152.74,6,"DiamondHead"
"-30",152.74,327,"NorthSolitary"
"-29",152.74,265,"EvansHead"
"-28.6",152.74,319,"CapeByron"
"-31.8",152.75,-4,"DiamondHead"
"-30",152.75,346,"NorthSolitary"
"-29",152.75,237,"EvansHead"
"-28.6",152.75,243,"CapeByron"
"-31.8",152.76,-16,"DiamondHead"
"-30",152.76,317,"NorthSolitary"
"-29",152.76,192,"EvansHead"
"-28.6",152.76,146,"CapeByron"
"-31.8",152.77,-20,"DiamondHead"
"-30",152.77,301,"NorthSolitary"
"-29",152.77,346,"EvansHead"
"-28.6",152.77,162,"CapeByron"
"-31.8",152.78,-20,"DiamondHead"
"-30",152.78,253,"NorthSolitary"
"-29",152.78,337,"EvansHead"
"-28.6",152.78,187,"CapeByron"
"-31.8",152.79,-20,"DiamondHead"
"-30",152.79,201,"NorthSolitary"
"-29",152.79,347,"EvansHead"
"-28.6",152.79,210,"CapeByron"
"-31.8",152.8,-18,"DiamondHead"
"-30",152.8,134,"NorthSolitary"
"-29",152.8,282,"EvansHead"
"-28.6",152.8,269,"CapeByron"
"-31.8",152.81,-24,"DiamondHead"
"-30",152.81,105,"NorthSolitary"
"-29",152.81,276,"EvansHead"
"-28.6",152.81,184,"CapeByron"
"-31.8",152.82,-27,"DiamondHead"
"-30",152.82,90,"NorthSolitary"
