"TIME (UTC)","LONGITUDE (degrees_east)","LATITUDE (degrees_north)","start_time (days since 1985-01-01 00:00:00+00:00)","end_time (days since 1985-01-01 00:00:00+00:00)","GSLA (m)","GSL (m)","UCUR (m/s)","VCUR (m/s)","Transect"
2011-06-09,153.6,-30,9647.53074074071,9662.49608796299,0.121923305815391,2.36018494498955,-0.15640974776067,-0.502342331344513,"NorthSolitary"
2011-06-10,153.6,-30,9648.58090277773,9663.47057870368,0.180977522774785,2.41923916194894,-0.171364045595349,-0.430622739688401,"NorthSolitary"
2011-06-11,153.6,-30,9649.61451388884,9664.4984490741,0.22278851876154,2.4610501579357,-0.133367921505196,-0.334487967894038,"NorthSolitary"
2011-06-12,153.6,-30,9650.51030092593,9665.48916666664,0.25315489905849,2.49141653823265,-0.0878946484977035,-0.274365586803595,"NorthSolitary"
2011-06-13,153.6,-30,9651.54391203704,9666.49674768513,0.307783864617826,2.54604550379198,-0.0938458486564021,-0.110020905497993,"NorthSolitary"
2011-06-14,153.6,-30,9652.50861111109,9667.46144675929,0.386980605191278,2.62508964948957,-0.127264126470633,0.0419635908626188,"NorthSolitary"
2011-06-15,153.6,-30,9653.5168865741,9668.49504629627,0.418872934246868,2.65713457342102,-0.100407428318557,0.168617337829796,"NorthSolitary"
2011-06-16,153.6,-30,9654.50692129624,9669.45974537032,0.362260235301299,2.60052187447546,-0.10162818732547,0.162360947919369,"NorthSolitary"
2011-06-17,153.6,-30,9655.53546296293,9670.49334490742,0.264141730120703,2.50240336929486,-0.077975981566539,0.0227366365037462,"NorthSolitary"
2011-06-18,153.6,-30,9656.57413194445,9671.45804398146,0.20066226176125,2.43892390093541,-0.0793493354493156,-0.182503471533426,"NorthSolitary"
2011-06-19,153.6,-30,9657.60774305556,9672.49165509257,0.170448476340164,2.40871011551432,-0.0790441456975875,-0.25803793508614,"NorthSolitary"
2011-06-20,153.6,-30,9658.50353009254,9673.4563425926,0.153510445119253,2.39177208429341,-0.114598751773915,-0.269482550775945,"NorthSolitary"
2011-06-21,153.6,-30,9659.50302083336,9674.42104166665,0.151831901484748,2.3900935406589,-0.136725008774205,-0.335556132025087,"NorthSolitary"
2011-06-22,153.6,-30,9660.50184027781,9675.45464120375,0.164955060809058,2.40321669998321,-0.194558466726687,-0.427113057543528,"NorthSolitary"
2011-06-23,153.6,-30,9661.52159722219,9676.48825231486,0.157477911891719,2.39558695619001,-0.196694794988784,-0.380113835777395,"NorthSolitary"
2011-06-24,153.6,-30,9662.50013888883,9677.46144675929,0.174721132864358,2.41298277203851,-0.209360169685502,-0.36195504554957,"NorthSolitary"
2011-06-25,153.6,-30,9663.53374999994,9678.43593749998,0.202645995147483,2.44090763432164,-0.188149481940396,-0.332351639631941,"NorthSolitary"
2011-06-26,153.6,-30,9664.51467592595,9679.45123842591,0.214090610837288,2.45235225001144,-0.173958158485038,-0.2858102024934,"NorthSolitary"
2011-06-27,153.6,-30,9665.53204861109,9680.48483796301,0.225687821402957,2.46394946057711,-0.177620435505776,-0.259106099217188,"NorthSolitary"
2011-06-28,153.6,-30,9666.53326388891,9681.49861111108,0.237285031968626,2.47554667114278,-0.175026322616087,-0.252086734927441,"NorthSolitary"
2011-06-29,153.6,-30,9667.50775462959,9682.48313657404,0.233927944699617,2.47218958387377,-0.15976683502968,-0.28504722811408,"NorthSolitary"
2011-06-30,153.6,-30,9668.55184027774,9683.44759259257,0.220804785375307,2.45906642454946,-0.147559244960554,-0.336013916652679,"NorthSolitary"
2011-07-01,153.6,-30,9669.52633101854,9684.49167824071,0.199594097630202,2.43770314192849,-0.163276517174553,-0.392474020722384,"NorthSolitary"
2011-07-02,153.6,-30,9670.50082175923,9685.46616898151,0.172432209726397,2.41069384890055,-0.173042589229854,-0.461141714861215,"NorthSolitary"
2011-07-03,153.6,-30,9671.52695601853,9686.47973379632,0.136725008774205,2.37498664794836,-0.19089618970595,-0.514092136786047,"NorthSolitary"
2011-07-04,153.6,-30,9672.56055555551,9687.48474537034,0.105748248973799,2.34400988814796,-0.198373338623289,-0.57085743060748,"NorthSolitary"
2011-07-05,153.6,-30,9673.52525462967,9688.45923611114,0.0943036332839943,2.33256527245815,-0.197152579616376,-0.599697862145789,"NorthSolitary"
2011-07-06,153.6,-30,9674.55885416665,9689.44273148151,0.113530587642867,2.35179222681702,-0.208292005554453,-0.601681595532022,"NorthSolitary"
2011-07-07,153.6,-30,9675.5235532407,9690.4778240741,0.149542978346787,2.38765202264508,-0.202951184899211,-0.561701738055636,"NorthSolitary"
2011-07-08,153.6,-30,9676.55715277779,9691.45230324077,0.176399676498863,2.41466131567302,-0.153663039995117,-0.486319869378786,"NorthSolitary"
2011-07-09,153.6,-30,9677.52185185184,9692.49640046293,0.201730425892299,2.43999206506646,-0.127416721346497,-0.412158759708849,"NorthSolitary"
2011-07-10,153.6,-30,9678.50554398145,9693.47089120373,0.193642897471503,2.43190453664566,-0.0524926372972396,-0.257885340210276,"NorthSolitary"
2011-07-11,153.6,-30,9679.52015046298,9694.47292824078,0.195168846230144,2.4334304854043,-0.0228892313796103,-0.20066226176125,"NorthSolitary"
2011-07-12,153.6,-30,9680.5241319444,9695.48946759256,0.198678528375017,2.43694016754917,0.0277722674072605,-0.12940045473273,"NorthSolitary"
2011-07-13,153.6,-30,9681.51844907412,9696.47122685181,0.20966535943723,2.44792699861139,0.0537133963041521,-0.0733981352906169,"NorthSolitary"
2011-07-14,153.6,-30,9682.54270833335,9697.43844907405,0.218058077609754,2.45616712190805,0.0589016220835304,-0.0549341553110647,"NorthSolitary"
2011-07-15,153.6,-30,9683.51674768515,9698.48254629632,0.202951184899211,2.4410602291975,0.0543237758076084,-0.0488303602765019,"NorthSolitary"
2011-07-16,153.6,-30,9684.55034722225,9699.45702546299,0.16464987105733,2.40291151023149,0.0453206781316283,-0.0976607205530038,"NorthSolitary"
2011-07-17,153.6,-30,9685.53577546298,9700.46781249996,0.120244762180886,2.35850640135504,0.024567775014115,-0.156714937512398,"NorthSolitary"
2011-07-18,153.6,-30,9686.54864583339,9701.40600694448,0.0886576228770238,2.32691926205118,-0.00198373338623289,-0.214700990340744,"NorthSolitary"
2011-07-19,153.6,-30,9687.51334490743,9702.39719907404,0.0888102177528879,2.32707185692704,-0.0320449239314544,-0.283673874231303,"NorthSolitary"
2011-07-20,153.6,-30,9688.52884259261,9703.43081018515,0.0961347717943631,2.33439641096852,-0.110020905497993,-0.0825538278424611,"NorthSolitary"
2011-07-21,153.6,-30,9689.5033333333,9704.46440972225,0.13840355240871,2.37666519158287,-0.104832679718615,-0.0412006164832985,"NorthSolitary"
2011-07-22,153.6,-30,9690.6141435185,9705.49802083336,0.169990691712572,2.40825233088673,-0.108189766987625,-0.0791967405734515,"NorthSolitary"
2011-07-23,153.6,-30,9691.50993055559,9706.48725694441,0.167396578822883,2.40565821799704,-0.124670013580944,-0.138556147284574,"NorthSolitary"
2011-07-24,153.6,-30,9692.50131944439,9707.46174768521,0.133978301008652,2.37223994018281,-0.159309050402088,-0.232707185692704,"NorthSolitary"
2011-07-25,153.6,-30,9693.50822916662,9708.46101851854,0.101017807822013,2.33927944699617,-0.156562342636534,-0.342270306563106,"NorthSolitary"
2011-07-26,153.6,-30,9694.51498842589,9709.49462962965,0.0637846581111806,2.30204629728534,-0.173500373857446,-0.413532113591626,"NorthSolitary"
2011-07-27,153.6,-30,9695.50652777776,9710.4593287037,0.0442525140005799,2.28251415317474,-0.188607266567989,-0.420551477881373,"NorthSolitary"
2011-07-28,153.6,-30,9696.53356481483,9711.49890046299,0.0442525140005799,2.28236155829887,-0.192727328216318,-0.419025529122732,"NorthSolitary"
2011-07-29,153.6,-30,9697.5048263889,9712.47339120368,0.0566126989455694,2.29472174324386,-0.192269543588726,-0.449544504295546,"NorthSolitary"
2011-07-30,153.6,-30,9698.53842592589,9713.49124999996,0.0491355500282301,2.28739718920239,-0.167396578822883,-0.454885324950788,"NorthSolitary"
2011-07-31,153.6,-30,9699.50312500005,9714.49196759262,0.0552393450627928,2.29350098423695,-0.167396578822883,-0.446645201654128,"NorthSolitary"
2011-08-01,153.6,-30,9700.50112268515,9715.46645833331,0.0773656020630827,2.31562724123724,-0.16129278378832,-0.425892298536615,"NorthSolitary"
2011-08-02,153.6,-30,9701.50141203706,9716.45425925928,0.105748248973799,2.34385729327209,-0.167091389071155,-0.381792379411899,"NorthSolitary"
2011-08-03,153.6,-30,9702.53502314817,9717.48785879626,0.115056536401508,2.35331817557566,-0.165565440312514,-0.324721895838738,"NorthSolitary"
2011-08-04,153.6,-30,9703.56862268515,9718.45951388893,0.0907939511391208,2.32905559031328,-0.162208353043505,-0.296644438679749,"NorthSolitary"
2011-08-05,153.6,-30,9704.53331018519,9719.43400462961,0.0631742786077244,2.30143591778188,-0.188149481940396,-0.333114614011262,"NorthSolitary"
2011-08-06,153.6,-30,9705.5669212963,9720.47810185188,0.0581386477042101,2.29640028687837,-0.216379533975249,-0.428181221674576,"NorthSolitary"
2011-08-07,153.6,-30,9706.53162037034,9721.48447916668,0.0788915508217234,2.31700059512002,-0.225077441899501,-0.519890742068881,"NorthSolitary"
2011-08-08,153.6,-30,9707.53135416668,9722.49667824071,0.0837745868493736,2.32188363114767,-0.217752887858026,-0.492423664413349,"NorthSolitary"
2011-08-09,153.6,-30,9708.50583333336,9723.48278935184,0.0770604123113546,2.31532205148551,-0.195474035981872,-0.363023209680619,"NorthSolitary"
2011-08-10,153.6,-30,9709.56354166672,9724.44748842588,0.0781285764424031,2.31639021561656,-0.169075122457388,-0.341049547556193,"NorthSolitary"
2011-08-11,153.6,-30,9710.52442129632,9725.48974537035,0.0795019303251797,2.31776356949934,-0.181740497154106,-0.347153342590756,"NorthSolitary"
2011-08-12,153.6,-30,9711.56184027775,9726.46423611115,0.0799597149527719,2.31822135412693,-0.179451574016145,-0.336929485907863,"NorthSolitary"
2011-08-13,153.6,-30,9712.54299768514,9727.47939814813,0.0697358582698793,2.30784490256817,-0.183724230540338,-0.344101445073474,"NorthSolitary"
2011-08-14,153.6,-30,9713.51747685182,9728.48281249998,0.060122381090443,2.2983840202646,-0.183571635664474,-0.334487967894038,"NorthSolitary"
2011-08-15,153.6,-30,9714.52484953706,9729.47770833329,0.0421161857384829,2.28037782491264,-0.174263348236766,-0.3660751071979,"NorthSolitary"
2011-08-16,153.6,-30,9715.53606481478,9730.44240740745,0.0128179695725818,2.25092701387087,-0.162055758167641,-0.390642882212015,"NorthSolitary"
2011-08-17,153.6,-30,9716.52315972222,9731.47600694443,-0.0259411288968916,2.21232051027726,-0.159156455526223,-0.41368470846749,"NorthSolitary"
2011-08-18,153.6,-30,9717.55677083333,9732.44070601847,-0.048982955152366,2.18927868402179,-0.174263348236766,-0.514397326537775,"NorthSolitary"
2011-08-19,153.6,-30,9718.52146990737,9733.47431712958,-0.0361649855797842,2.20194405871851,-0.249492622037752,-0.643645186394641,"NorthSolitary"
2011-08-20,153.6,-30,9719.50361111108,9734.43900462962,-0.0364701753315124,2.20163886896678,-0.231944211313384,-0.567958127966063,"NorthSolitary"
2011-08-21,153.6,-30,9720.51978009264,9735.47261574073,-0.00366227702073764,2.23459936215342,-0.237590221720355,-0.537896937420841,"NorthSolitary"
2011-08-22,153.6,-30,9721.52218750003,9736.48752314819,0.0228892313796103,2.2609982756779,-0.239879144858316,-0.489676956647796,"NorthSolitary"
2011-08-23,153.6,-30,9722.51809027779,9737.47091435187,0.0405902369798422,2.278851876154,-0.202340805395755,-0.430775334564265,"NorthSolitary"
2011-08-24,153.6,-30,9723.54077546299,9738.43649305555,0.0476096012695894,2.28587124044375,-0.203561564402667,-0.442372545129935,"NorthSolitary"
2011-08-25,153.6,-30,9724.51525462966,9739.40031249996,0.0460836525109487,2.28434529168511,-0.226450795782278,-0.477011581951078,"NorthSolitary"
2011-08-26,153.6,-30,9725.55000000005,9740.45506944449,0.0216684723726977,2.25993011154685,-0.219126241740802,-0.48982955152366,"NorthSolitary"
2011-08-27,153.6,-30,9726.51469907409,9741.49915509264,0.0106816413104848,2.24894328048464,-0.18677612805762,-0.444203683640303,"NorthSolitary"
2011-08-28,153.6,-30,9727.5083333333,9742.47364583332,0.0149542978346787,2.25321593700884,-0.193948087223231,-0.386522820563685,"NorthSolitary"
2011-08-29,153.6,-30,9728.51300925924,9743.46585648146,0.0309767598004059,2.2690858040987,-0.195931820609464,-0.393236995101704,"NorthSolitary"
2011-08-30,153.6,-30,9729.52690972225,9744.49946759257,0.0302137854210856,2.26832282971938,-0.197915553995697,-0.41933071887446,"NorthSolitary"
2011-08-31,153.6,-30,9730.50140046293,9745.46670138894,0.0395220728487937,2.27778371202295,-0.193795492347367,-0.437489509102284,"NorthSolitary"
2011-09-01,153.6,-30,9731.5449189815,9746.44119212963,0.0476096012695894,2.28587124044375,-0.181435307402377,-0.453511971068012,"NorthSolitary"
2011-09-02,153.6,-30,9732.50961805554,9747.48527777777,0.0465414371385409,2.2848030763127,-0.162666137671097,-0.440388811743702,"NorthSolitary"
2011-09-03,153.6,-30,9733.54321759264,9748.49608796299,0.0444051088764439,2.2826667480506,-0.157477911891719,-0.469687027909603,"NorthSolitary"
2011-09-04,153.6,-30,9734.50791666668,9749.43424768513,0.0154120824622709,2.25367372163643,-0.134741275387972,-0.494407397799582,"NorthSolitary"
2011-09-05,153.6,-30,9735.54152777779,9750.49439814815,-0.0157172722139991,2.22254436696016,-0.143591778188088,-0.537286557917385,"NorthSolitary"
2011-09-06,153.6,-30,9736.50622685184,9751.45909722219,-0.0364701753315124,2.20163886896678,-0.193948087223231,-0.598019318511284,"NorthSolitary"
2011-09-07,153.6,-30,9737.53160879633,9752.49692129635,-0.0325027085590466,2.20575893061511,-0.217600292982162,-0.6676025819053,"NorthSolitary"
