"secs","depth","temp","distance","abund","sal","GeoMnESD","biomass","NBSS.Slope","lat","long","site","GA_depth","Norm.GeoMnESD","Norm.Biomass","Norm.abund"
4250,68.5188432577211,20.4055714285714,18933.6999834038,4706.19320402689,35.6439523809524,0.000438209922395175,188.206134818483,-1.06673532117366,-30.0025317460317,153.566912698413,"NorthSolitary",366,0.550098785402817,0.0130955037241971,0.20545101243102
4270,87.3823822077071,20.2878823529412,19001.1,5581.71272951904,35.6449411764706,0.000435802193751768,226.631303938446,-1.07170858580806,-30.0026666666667,153.567558823529,"NorthSolitary",366,0.547076287429521,0.015769151667707,0.243672216941191
4290,103.762449587503,19.98125,19071.3000181049,3442.24529783377,35.638625,0.000415484257943474,93.2223491405193,NA,-30.0026666666667,153.568177083333,"NorthSolitary",383,0.521570539524626,0.00648647091937508,0.15027278966591
4310,115.686844515267,19.63125,19138,5267.07165976267,35.62575,0.000413133984998839,149.59055699206,NA,-30.0028125,153.568791666667,"NorthSolitary",383,0.518620167508533,0.0104086070206138,0.229936417425244
4330,114.17782402653,19.7083076923077,19224.7,5188.04625025523,35.6309230769231,0.000403325110542597,121.704121122586,NA,-30.0028333333333,153.569666666667,"NorthSolitary",383,0.506306776942079,0.00846825090451008,0.226486527102597
4350,92.346038607949,20.2397419354839,19265.8,5576.7976421659,35.6409677419355,0.00042909779470559,179.269107806647,-1.13602961123687,-30.0029408602151,153.57014516129,"NorthSolitary",393,0.53866004310534,0.0124736596454713,0.243457646559332
4370,70.0081772897959,20.6353571428571,19337.05,6297.44178742154,35.6419285714286,0.000439756116145452,261.279809210011,-1.04110639110236,-30.003,153.570785714286,"NorthSolitary",393,0.552039771356252,0.0181800169153211,0.274917695653486
4390,51.6394752570058,20.9134347826087,19401.3500188593,5700.79737815349,35.646,0.000429663575304624,186.292949766313,-1.15266742959395,-30.003,153.571398550725,"NorthSolitary",393,0.539370285398877,0.0129623830796446,0.24887091163269
4410,31.2831591821846,21.0481111111111,19486.5,5661.0215600462,35.6509444444444,0.000434819176573249,220.255029889385,-1.10757566123506,-30.003,153.57212037037,"NorthSolitary",393,0.545842274851764,0.0153254864246133,0.24713448013782
4430,12.4144696874146,21.1203,19558.3,5571.41303042502,35.65445,0.000436733932629065,184.973591890133,-1.04217858809178,-30.003,153.572758333333,"NorthSolitary",396,0.548245928732739,0.0128705813113456,0.243222578876016
4450,5.83489137066594,21.1573125,19652.4499791291,4027.7548626447,35.65575,0.000553279021550257,6112.21818490568,NA,-30.0028333333333,153.573510416667,"NorthSolitary",396,0.694548667634201,0.425292066492602,0.175833476969508
